id;name;description;number_of_seats;number_of_available_seats;is_active;plate_number
1;ding;précisément;23931;19362;false;inquiéter adversaire abattre
2;sympathique de;au-dessous;22500;17249;true;à défaut de 
3;ouin vaste;à l'encontre de en dedans de pin-pon;26838;18086;true;jusque envelopper
4;passablement;direction divinement gai;13034;27574;true;antagoniste croâ de crainte que
5;rectorat;suivant;32476;28470;false;en bas de
6;aïe quand en dedans de;sous couleur de disperser touriste;22740;31758;false;membre titulaire ha ha confondre
7;de manière à ce que population du Québec;comment diablement;24349;3218;true;charitable même si
8;esquisser;maîtriser quand;10421;6067;true;consommer
9;diplomate assez;évoquer au point que triompher;5718;13382;true;sous couleur de de crainte que tant
10;chut manifester trier;cyan;6323;11868;true;amorphe
