id;platform;brand;token;model;os_version;is_active;created_at;updated_at
1;secours moderne au-dessus;presque;transmettre;clac;paf de sorte que bzzz;false;dessus;pendant que
2;bouffer neutre vorace;fixer;franco de crainte que infiniment;au moyen de bien que commis;responsable incliner sale;false;orange tantôt;à partir de loufoque
3;jusqu’à ce que coac coac;entre-temps d'entre psitt;multiple;disparaître absolument téméraire;avex circulaire outre;true;délectable pas mal;peu si bien que tranquille
4;oups;rose collègue diplomate;souffler;chut afin que égoïste;désormais;true;de manière à turquoise pendant que;collègue devant outre
5;briller;de peur que jusque;hors d'après triathlète;moderne aussitôt;personnel;true;au cas où dès même si;tant
6;filer;super personnel en faveur de;au moyen de;à condition que réfléchir;plancher;false;selon avant-hier hé;plic cocorico toc-toc
7;secouriste durant inventer;ding ah;sauvage pff hypocrite;meuh;affable hebdomadaire autrement;false;soit;afin de fidèle
8;adversaire cocorico lorsque;déployer;trop du côté de aïe;tsoin-tsoin;groin groin assez smack;false;blablabla groin groin alors que;comment
9;glouglou bof;hors de;admirablement loin de moderne;aux environs de comme vu que;grrr bien;false;partout marron;proche de lorsque
10;désagréable balancer;tordre membre de l’équipe;toc ding;dans zzzz;tant que;true;à l'insu de diplomate;divinement coin-coin penser
