id;name;address;latitude;longitude
1;constituer meuh de peur de;tout à fait hâter cocorico;3995.05;21705.72
2;spécialiste gestionnaire camarade;hisser goûter;26009.39;26761.65
3;pis;dans la mesure où;10254.31;18672.64
4;déjà;alors que insipide;14310.72;6620.71
5;oh altruiste lâche;puisque rapide;12291.65;16088.99
6;meuh différer;altruiste rédaction oublier;27805.75;299.94
7;outre;tellement;14748.8;25071.19
8;de façon à habile;répéter alentour;20808.98;4979.63
9;débarquer alors que;quand;3196.58;1438.4
10;moyennant maîtriser comme;prout;30578.32;18545.24
