id;departure_timme;status;reservation_number
1;sincère au lieu de gai;PENDING;vu que clientèle parmi
2;au-dehors;PENDING;demeurer
3;partenaire personnel professionnel au prix de;CONFIRMED;lunatique
4;suivant;CANCELED;baisser aussitôt que
5;dès que;CONFIRMED;au point que avant tandis que
6;calme;CONFIRMED;après-demain
7;sale ouch;CANCELED;organiser prévenir
8;sous au point que de façon à;PENDING;pourvu que résigner selon
9;en dehors de;CANCELED;conseil d’administration équipe neutre
10;drelin habile autrement;CANCELED;avex
