id;name;description;status;departure_date;arrival_date;price
1;fort crier;afin que membre à vie;CANCELED;dès que;partenaire consulter;17267
2;dîner;après;IN_PROGRESS;après;tôt avant que;22227
3;secours;élaborer présidence découvrir;COMPLETED;éclaircir d'avec tant;charitable au prix de pour que;20618
4;avant environ;certainement;COMPLETED;lunatique;de sorte que;31428
5;main-d’œuvre environ mélancolique;ferme;COMPLETED;dans autrefois;loin;7255
6;énorme antagoniste après-demain;circulaire gratis;CANCELED;loufoque psitt;crac;11387
7;solitaire au point que repousser;de manière à ce que élever;SCHEDULED;diplomate;spécialiste;22835
8;oups au cas où;maigre avoir;CANCELED;cocorico euh touriste;commis;18052
9;comme apte;effectuer dresser partenaire;COMPLETED;membre du personnel;touriste photographier via;6305
10;pin-pon;commettre diablement collègue;IN_PROGRESS;carrément pourpre pourpre;bien que pff;17189
